"","trait","env","gen","predicted.value"
"421","PH","E13","G54",94.0728986041508
"422","PH","E13","G56",83.8865046690514
"423","PH","E13","G58",71.5393605052947
"424","PH","E13","G62",109.198150204753
"425","PH","E13","G63",101.481185102405
"426","PH","E13","G65",99.6291134778413
"427","PH","E14","G01",37.6751706051256
"428","PH","E14","G02",45.7868396198269
"429","PH","E14","G03",57.3303686022866
"430","PH","E14","G04",35.8032469863483
"431","PH","E14","G06",68.2499230451538
"432","PH","E14","G07",38.299145144718
"433","PH","E14","G08",54.2104959043245
"434","PH","E14","G11",39.859081493699
"435","PH","E14","G14",45.1628650802345
"436","PH","E14","G18",65.1300503471917
"437","PH","E14","G19",56.0824195231017
"438","PH","E14","G20",57.6423558720828
"439","PH","E14","G25",59.8262667606562
"440","PH","E14","G26",74.4896684410779
"441","PH","E14","G27",47.0347886990117
"442","PH","E14","G30",58.5783176814714
"443","PH","E14","G31",36.4272215259407
"444","PH","E14","G34",36.1152342561445
"445","PH","E14","G35",87.5931337725186
"446","PH","E14","G38",60.4502413002486
"447","PH","E14","G40",57.0183813324903
"448","PH","E14","G41",61.6981903794334
"449","PH","E14","G43",63.5701139982107
"450","PH","E14","G44",70.7458212035234
"451","PH","E14","G45",68.56191031495
"452","PH","E14","G47",42.6669669218648
"453","PH","E14","G49",62.3221649190259
"454","PH","E14","G51",64.8180630773955
"455","PH","E14","G52",67.6259485055614
"456","PH","E14","G53",66.3779994263765
"457","PH","E14","G54",58.2663304116752
"458","PH","E14","G56",65.4420376169879
"459","PH","E14","G58",49.8426741271776
"460","PH","E14","G62",67.6259485055614
"461","PH","E14","G63",59.51427949086
"462","PH","E14","G65",74.4896684410779
"463","PH","E15","G03",36.2743769601871
"464","PH","E15","G04",51.151509925091
"465","PH","E15","G06",47.0365582539473
"466","PH","E15","G07",32.1594252890434
"467","PH","E15","G12",50.2019056932886
"468","PH","E15","G13",44.1877455585402
"469","PH","E15","G16",32.1594252890434
"470","PH","E15","G17",39.1231896555942
"471","PH","E15","G18",41.4444444444448
"472","PH","E15","G19",35.6413074723188
"473","PH","E15","G20",41.3389328631331
"474","PH","E15","G31",31.5263558011752
"475","PH","E15","G32",29.3106125936363
"476","PH","E15","G33",29.6271473375704
"477","PH","E15","G34",29.6271473375704
