env;gen;rep;NDM;PH;GY
E16;G19;1;109;40;1100
E16;G19;2;103;35;860
E16;G19;3;103;40;1000
E17;G19;1;120;37;2836
E17;G19;2;120;38;2540
E17;G19;3;120;35;2544
E18;G19;1;130;50;4000
E18;G19;2;116;42;3200
E18;G19;3;130;45;2800
E19;G19;1;102;35;3600
E19;G19;2;111;28;3400
E19;G19;3;145;41;3600
E08;G20;1;127;30;858
E08;G20;2;119;31;596
E08;G20;3;118;36;1652
E09;G20;1;109;44;2838
E09;G20;2;109;46;2968
E09;G20;3;109;45;2912
E10;G20;1;125;66;760
E10;G20;2;125;50;630
E10;G20;3;125;57;450
E11;G20;1;103;30;1094
E11;G20;2;103;30;1302
E11;G20;3;103;65;710
E12;G20;1;98;65;950
E12;G20;2;92;55;900
E12;G20;3;98;35;1940
E13;G20;1;160;61;2434
E13;G20;2;173;67;2105
E13;G20;3;165;68;2379
E14;G20;1;105;59;1493
E14;G20;2;104;55;1122
E14;G20;3;104;59;1904
E15;G20;1;101;41;2000
E15;G20;2;90;43;2400
E15;G20;3;88;40;1900
E01;G21;1;138;103;2400
E01;G21;2;138;106;1400
E01;G21;3;138;86;1000
E02;G21;1;NA;167;840
E02;G21;2;NA;155;877
E02;G21;3;NA;161;800
E03;G21;1;173;138;504
E03;G21;2;174;136;654
E03;G21;3;172;140;540
E04;G21;1;130;104;2400
E04;G21;2;130;107;2400
E04;G21;3;130;94;2270
E05;G21;1;NA;155;318
E05;G21;2;NA;NA;428
E05;G21;3;NA;NA;436
E06;G21;1;130;92;402
E06;G21;2;130;95;346
E06;G21;3;133;90;456
E07;G21;1;NA;NA;2212
E07;G21;2;141;90;1740
E07;G21;3;137;94;1674
E01;G22;1;135;109;2400
E01;G22;2;135;107;2000
E01;G22;3;135;110;2200
E02;G22;1;NA;162;852
E02;G22;2;NA;138;779
E02;G22;3;NA;118;1170
E03;G22;1;171;135;624
E03;G22;2;171;120;594
E03;G22;3;171;127;690
E04;G22;1;137;106;2400
E04;G22;2;137;107;2700
E04;G22;3;137;110;2200
E05;G22;1;NA;NA;NA
E05;G22;2;NA;157;263
E05;G22;3;NA;NA;495
E06;G22;1;128;70;124
E06;G22;2;128;70;896
E06;G22;3;131;69;174
E07;G22;1;139;89;1288
E07;G22;2;137;90;2324
E07;G22;3;149;91;1960
E01;G23;1;135;143;2600
E01;G23;2;135;139;1400
E01;G23;3;135;139;2000
E02;G23;1;176;141;1790
E02;G23;2;176;146;1459
E02;G23;3;NA;148;2022
E03;G23;1;170;120;1140
E03;G23;2;164;82;1098
E03;G23;3;167;101;1038
E04;G23;1;135;142;2600
E04;G23;2;135;139;2450
E04;G23;3;135;145;2600
E05;G23;1;NA;NA;1223
E05;G23;2;NA;NA;1403
E05;G23;3;NA;NA;1326
E06;G23;1;128;80;402
E06;G23;2;128;122;584
E06;G23;3;125;110;680
E07;G23;1;130;118;3014
E07;G23;2;139;116;3340
E07;G23;3;139;112;2814
E01;G24;1;138;142;4000
E01;G24;2;138;129;3000
E01;G24;3;138;117;3200
E02;G24;1;NA;165;1632
E02;G24;2;NA;152;1740
E02;G24;3;NA;160;1554
E03;G24;1;171;120;1020
E03;G24;2;169;137;960
E03;G24;3;167;128;1014
E04;G24;1;138;143;2600
E04;G24;2;138;130;3000
E04;G24;3;138;118;2680
E05;G24;1;NA;NA;639
E05;G24;2;NA;NA;587
E05;G24;3;NA;NA;677
E06;G24;1;128;112;556
E06;G24;2;130;110;592
E06;G24;3;128;107;286
E07;G24;1;135;97;2094
E07;G24;2;137;96;1972
E07;G24;3;141;97;1786
E14;G25;1;98;42;1603
E14;G25;2;97;41;2650
E14;G25;3;97;97;2110
E01;G26;1;117;68;3600
E01;G26;2;117;82;3600
E01;G26;3;117;72;2200
E02;G26;1;189;121;3301
E02;G26;2;197;123;3253
E02;G26;3;200;113;3071
E03;G26;1;136;69;3678
E03;G26;2;135;68;3948
E03;G26;3;134;52;2418
E04;G26;1;114;70;3200
E04;G26;2;114;66;3910
E04;G26;3;114;72;3200
E05;G26;1;NA;126;1502
E05;G26;2;199;127;1783
E05;G26;3;NA;96;1252
E06;G26;1;115;65;800
E06;G26;2;114;69;1946
E06;G26;3;111;60;1394
E07;G26;1;119;68;NA
E07;G26;2;115;66;NA
E07;G26;3;118;69;2574
E08;G26;1;127;32;1116
E08;G26;2;127;31;772
E08;G26;3;127;30;748
E09;G26;1;116;57;3644
E09;G26;2;114;59;3580
E09;G26;3;115;63;3850
E10;G26;1;125;70;950
E10;G26;2;125;66;1240
E10;G26;3;125;76;1280
E11;G26;1;109;60;1932
E11;G26;2;109;30;1258
E11;G26;3;109;62;736
E12;G26;1;97;70;490
E12;G26;2;92;50;242
E12;G26;3;95;55;500
E13;G26;1;177;105;2451
E13;G26;2;185;102;1992
E13;G26;3;183;103;2501
E14;G26;1;107;78;3277
E14;G26;2;107;74;1853
E14;G26;3;107;75;2786
E14;G27;1;96;46;2433
E14;G27;2;95;48;2239
E14;G27;3;95;45;2281
E01;G28;1;115;90;2000
E01;G28;2;115;89;1000
E01;G28;3;115;88;1600
